ID,JJ,n,age,adjhlg,adjhlgSE,method,sex,yr
14E,114,3,4,25.373020396735868,2.4561514013388654,mixed,female,1977
14E,12,3,4,26.150279457200966,3.6697554877464937,mixed,female,1977
16F,114,5,2,18.752458775267517,2.5090486235348917,mixed,female,1977
16F,12,5,2,15.330582212183383,3.494668030671404,mixed,female,1977
18E,114,3,3,25.79305319551292,2.539039176838683,mixed,female,1977
18E,12,3,3,24.20578324653794,3.6079266829247,mixed,female,1977
19E,12,2,3,18.68761769318181,3.27664138947811,mixed,female,1977
19E,114,2,3,20.975657076093455,2.388204672522684,mixed,female,1977
19F,114,2,2,18.271240876573067,2.389994695893153,mixed,female,1977
19F,12,2,2,14.148021750846322,3.5324143291380303,mixed,female,1977
21D,114,3,4,23.630469735082364,2.4326591678756557,mixed,female,1977
21D,12,3,4,21.716854115811184,3.5363927868597154,mixed,female,1977
27D,114,3,4,20.43713593472949,2.4683343512444718,mixed,female,1977
27D,12,3,4,20.711527287326984,3.4153675847446476,mixed,female,1977
33D,12,2,6,23.685516008729614,3.4893897748106584,mixed,female,1977
33D,114,2,6,22.110433387792344,2.486432397354844,mixed,female,1977
4F,114,2,3,21.968631291902437,2.4217787350824747,mixed,female,1977
4F,12,2,3,21.257311859016383,3.556009758534352,mixed,female,1977
8E,114,2,3,25.647849901282832,2.468250511155305,mixed,female,1977
8E,12,2,3,22.666202971178148,3.5228198142644924,mixed,female,1977
8F,114,2,2,22.90313057064313,2.4293609883854983,mixed,female,1977
