Year.x;Id;Sex.x;Sire;Age_Sire;Dam;Age_Dam
2015;U20;M;M23;7;M15;8
2015;U21;F;M9;8;G14;14
2015;U22;M;P4;4;O11;6
2015;U23;M;NA;NA;U2;3
2015;U24;F;M9;8;L2;9
2015;U25;F;Q10;3;O12;6
2016;V1;M;Q11;4;P15;6
2016;V10;M;Q10;4;Q13;5
2016;V11;F;Q10;4;O12;7
2016;V12;M;Q11;4;Q12;5
2016;V13;M;HYP2;NA;M7;10
2016;V14;M;M9;9;R12;4
2016;V15;F;M23;8;R6;4
2016;V16;F;M23;8;J5;12
2016;V17;M;Q10;4;S9;3
2016;V2;M;M9;9;P11;6
2016;V3;M;HYP1;NA;S10;3
2016;V4;M;M23;8;M4;10
2016;V5;M;M23;8;O11;7
2016;V6;F;L9;9;M15;9
2016;V7;F;HYP2;NA;O6;7
2016;V8;M;M9;9;P3;6
2016;V9;F;M9;9;M28;9
2017;W1;F;HYP1;NA;Q3;6
2017;W2;M;Q10;5;M15;10
2017;W3;M;Q4;5;S10;4
2017;W4;M;HYP1;NA;P1;7
2017;W5;F;Q11;5;Q13;6
2017;W6;F;HYP2;NA;L2;11
2017;W7;F;HYP2;NA;M7;11
2017;W8;F;Q10;5;U7;5
2017;W9;F;P4;6;U2;5
2017;W10;F;HYP2;NA;T2;3
2017;W11;M;HYP3;NA;M28;10
2017;W12;F;Q11;5;P15;7
2017;W13;F;HYP2;NA;S8;4
2017;W14;M;M23;9;Q12;6
2017;W15;M;HYP2;NA;P3;7
2017;W16;F;HYP2;NA;O6;8
2017;W17;F;HYP3;NA;S9;4
2017;W18;F;HYP3;NA;T6;3
2017;W19;M;HYP2;NA;R12;5
2017;W20;F;M9;10;U8;4
2017;W21;F;HYP2;NA;U4;3
2017;W22;M;HYP1;NA;M4;11
2017;W23;F;Q10;5;U6;3
2017;X1;M;S7;3;U11;3
2017;X2;F;P4;6;O11;8
2018;X3;F;HYP3;NA;P15;8
2018;X4;F;HYP2;NA;U7;6
2018;X5;F;M23;10;P3;8
2018;X6;M;HYP3;NA;M15;11
2018;X7;F;HYP3;NA;M4;12
2018;X8;M;M23;10;P1;8
2018;X9;M;Q10;6;S10;5
2018;X10;F;HYP2;NA;M28;11
2018;X11;M;M23;10;R6;6
2018;X12;F;M9;11;Q12;7
2018;X13;F;HYP2;NA;S5;5
2018;X14;M;HYP1;NA;S9;5
2018;X15;M;U17;2;Q3;7
2018;X16;F;HYP2;NA;U14;3
2018;X17;M;HYP2;NA;U21;3
2018;X18;F;P4;7;S8;5
2018;X19;F;HYP2;NA;U13;3
2018;X20;M;M27;10;O11;9
2018;X21;F;S7;4;U8;5
2018;X22;M;U18;2;U4;4
2018;X23;M;HYP3;NA;U15;3
2018;X24;F;HYP1;NA;U19;3
NA;Z01;M;NA;NA;NA;NA
NA;Z02;M;NA;NA;NA;NA
NA;Z03;M;NA;NA;NA;NA
NA;Z04;M;NA;NA;NA;NA
NA;Z05;M;NA;NA;NA;NA
NA;Z06;M;NA;NA;NA;NA
NA;Z07;M;NA;NA;NA;NA
NA;Z08;M;NA;NA;NA;NA
NA;Z09;M;NA;NA;NA;NA
NA;Z10;M;NA;NA;NA;NA
NA;Z11;M;NA;NA;NA;NA
NA;Z12;M;NA;NA;NA;NA
NA;Z13;M;NA;NA;NA;NA
NA;Z14;M;NA;NA;NA;NA
NA;Z16;M;NA;NA;NA;NA
NA;Z17;M;NA;NA;NA;NA
NA;Z18;M;NA;NA;NA;NA
NA;Z19;M;NA;NA;NA;NA
NA;Z20;M;NA;NA;NA;NA
NA;Z21;M;NA;NA;NA;NA
NA;Z22;M;NA;NA;NA;NA
NA;Z23;M;NA;NA;NA;NA
NA;Z24;M;NA;NA;NA;NA
NA;Z25;M;NA;NA;NA;NA
NA;Z27;M;NA;NA;NA;NA
NA;Z28;M;NA;NA;NA;NA
NA;Z29;M;NA;NA;NA;NA
NA;Z30;M;NA;NA;NA;NA
NA;Z31;M;NA;NA;NA;NA
NA;Z32;M;NA;NA;NA;NA
NA;Z33;M;NA;NA;NA;NA
NA;Z34;M;NA;NA;NA;NA
NA;Z35;M;NA;NA;NA;NA
NA;Z36;M;NA;NA;NA;NA
NA;Z37;M;NA;NA;NA;NA
NA;Z38;M;NA;NA;NA;NA
NA;Z39;M;NA;NA;NA;NA
NA;ZA1;M;NA;NA;NA;NA
NA;HYP1;M;NA;NA;NA;NA
NA;HYP2;M;NA;NA;NA;NA
NA;HYP3;M;NA;NA;NA;NA
2019;Y1;F;HYP2_2017;NA;M28;12
2019;Y2;M;HYP2_2017;NA;P3;9
2019;Y3;M;V14;2;P15;9
2019;Y4;M;HYP2_2017;NA;U13;4
2019;Y5;F;V10;2;U11;5
2019;Y6;M;HYP2_2017;NA;U4;5
2020;ZZ1;M;W11;2;R6;8
2020;ZZ2;M;HYP2_2017;NA;U14;5
2021;AA10;F;Q11;9;W12;4
2021;AA11;F;HYP4_2021;NA;U13;6
2021;AA12;M;Q11;9;U4;7
2021;AA13;M;U1;6;U7;9
2021;AA14;F;HYP2_2017;NA;U15;6
2021;AA1;F;Q11;9;W13;4
2021;AA2;F;HYP2_2017;NA;V9;5
2021;AA3;M;U1;6;W16;4
2021;AA4;M;W4;3;R6;9
2021;AA5;M;HYP4_2021;NA;S8;8
2021;AA6;M;HYP4_2021;NA;U19;6
2021;AA7;M;HYP2_2017;NA;W6;4
2021;AA8;F;V12;4;W7;4
2021;AA9;F;HYP2_2017;NA;X2;4
2021;BB5;M;HYP2_2017;NA;O12;12
2021;BB6;M;HYP2_2017;NA;U25;6
2022;BB1;M;X1;4;W17;5
2022;BB2;M;U1;7;R6;10
2022;BB3;F;U1;7;U14;7
2022;BB4;M;U1;7;W7;5
2022;BB7;F;V8;5;W13;5
2022;BB8;M;V8;5;U7;10
2022;BB9;F;U1;7;X12;4
2022;BB10;M;U1;7;U15;7
2022;BB11;F;U1;7;U19;7
2022;BB12;M;U1;7;V9;6
2022;BB13;M;U1;7;U11;8
2022;BB14;F;W4;4;X2;5
2022;BB15;M;U1;7;S8;9
