ID;Year;Reproduction;LambID;Lamb_Sex
23T;1995;0;NA;NA
23T;1996;0;NA;NA
26T;1990;0;NA;NA
26T;1991;3;46W;1
26T;1992;0;NA;NA
26T;1993;3;27Y;2
26T;1994;1;NA;0
26T;1995;3;A46;1
26T;1996;2;NA;0
26T;1997;5;C4;2
26T;1998;3;D4;1
26T;1999;3;E16;2
26T;2000;1;NA;NA
26T;2001;0;NA;NA
28T;1990;0;NA;NA
28T;1991;5;24W;1
28T;1992;1;NA;0
28T;1993;3;37Y;2
28T;1994;1;NA;0
28T;1995;3;A31;1
28T;1996;5;C5;2
28T;1997;3;C20;1
28T;1998;2;NA;NA
28T;1999;1;NA;NA
28T;2000;3;F2;1
28T;2001;2;NA;0
28T;2002;3;H2;1
30T;1990;0;NA;NA
30T;1991;5;11W;2
31T;1990;0;NA;NA
31T;1991;3;10W;1
31T;1992;0;NA;NA
31T;1993;3;2Y;2
31T;1994;5;7Z;2
31T;1995;5;A34;1
31T;1996;5;B14;1
31T;1997;3;C10;2
31T;1998;3;D3;1
31T;1999;5;E5;1
31T;2000;5;F6;2
31T;2001;3;G11;2
37T;1990;0;NA;NA
37T;1991;1;NA;0
37T;1992;3;12X;2
37T;1993;3;39Y;2
37T;1994;1;NA;0
37T;1995;5;A9;1
37T;1996;3;B12;1
37T;1997;3;C6;1
37T;1998;2;D2;2
37T;1999;3;E2;1
37T;2000;2;NA;0
40T;1990;0;NA;NA
40T;1991;0;NA;NA
40T;1992;0;NA;NA
40T;1993;1;NA;0
40T;1994;4;NA;2
40T;1995;5;A54;2
40T;1996;5;C2;2
40T;1997;2;NA;0
40T;1998;5;D12;1
40T;1999;5;E10;1
40T;2000;1;NA;NA
40T;2001;5;G7;2
42T;1990;0;NA;NA
42T;1991;2;NA;0
42T;1992;0;NA;NA
42T;1993;3;31Y;2
48T;1990;0;NA;NA
51T;1990;0;NA;NA
51T;1991;3;40W;2
51T;1992;0;NA;NA
51T;1993;1;NA;0
51T;1994;3;2Z;1
51T;1995;5;A30;1
51T;1996;2;B21;2
51T;1997;5;C14;2
51T;1998;3;D11;2
51T;1999;2;NA;0
51T;2000;2;F5;1
54T;1990;0;NA;NA
58T;1990;0;NA;NA
58T;1991;5;34W;2
58T;1992;1;NA;0
58T;1993;3;21Y;1
58T;1994;0;NA;NA
58T;1995;3;A27;2
58T;1996;2;NA;0
58T;1997;1;NA;0
9T;1990;0;NA;NA
9T;1991;5;15W;1
9T;1992;1;NA;0
9T;1993;3;13Y;2
9T;1994;1;NA;0
9T;1995;5;A5;2
9T;1996;3;B1;1
9T;1997;1;NA;0
9T;1998;5;D14;2
9T;1999;1;NA;NA
9T;2000;1;NA;NA
9T;2001;1;NA;0
13U;1991;0;NA;NA
13U;1992;0;NA;NA
16U;1991;0;NA;NA
16U;1992;0;NA;NA
16U;1993;3;15Y;2
16U;1994;1;NA;0
16U;1995;5;A26;2
16U;1996;2;NA;0
19U;1991;0;NA;NA
19U;1992;0;NA;NA
19U;1993;3;12Y;2
19U;1994;1;NA;0
19U;1995;3;NA;0
20U;1991;0;NA;NA
20U;1992;0;NA;NA
20U;1993;3;7Y;1
20U;1994;1;NA;0
20U;1995;3;A8;1
20U;1996;3;B34;2
22U;1991;0;NA;NA
22U;1992;0;NA;NA
23U;1991;0;NA;NA
23U;1992;0;NA;NA
23U;1993;0;NA;NA
23U;1994;3;8Z;1
23U;1995;1;NA;0
23U;1996;3;B13;1
23U;1997;0;NA;NA
27U;1991;0;NA;NA
27U;1992;0;NA;NA
27U;1993;0;NA;NA
27U;1994;0;NA;NA
27U;1995;3;A38;2
27U;1996;8;NA;NA
27U;1997;8;NA;NA
28U;1991;0;NA;NA
28U;1992;0;NA;NA
28U;1993;2;NA;0
28U;1994;5;15Z;2
28U;1995;5;A50;2
28U;1996;3;B11;1
28U;1997;0;NA;NA
28U;1998;3;D16;1
28U;1999;1;NA;NA
28U;2000;2;NA;0
29U;1991;0;NA;NA
29U;1992;0;NA;NA
29U;1993;3;8Y;2
29U;1994;1;NA;0
29U;1995;1;NA;0
29U;1996;5;C13;2
29U;1997;1;NA;0
2U;1991;0;NA;NA
2U;1992;0;NA;NA
2U;1993;3;14Y;1
2U;1994;1;NA;0
31U;1991;5;53W;2
31U;1992;0;NA;NA
31U;1993;2;NA;0
31U;1994;5;13Z;2
31U;1995;2;NA;0
34U;1991;0;NA;NA
34U;1992;0;NA;NA
34U;1993;5;6Y;2
34U;1994;1;NA;0
34U;1995;5;A37;1
34U;1996;1;NA;0
34U;1997;1;NA;0
37U;1991;0;NA;NA
37U;1992;0;NA;NA
37U;1993;2;NA;0
37U;1994;0;NA;NA
37U;1995;5;A35;2
37U;1996;5;C1;2
37U;1997;1;NA;0
40U;1991;0;NA;NA
40U;1992;0;NA;NA
40U;1993;2;NA;0
40U;1994;0;NA;NA
40U;1995;2;NA;0
40U;1996;8;NA;NA
40U;1997;1;NA;0
40U;1998;5;D8;2
40U;1999;1;NA;NA
42U;1991;0;NA;NA
42U;1992;0;NA;NA
42U;1993;2;NA;0
42U;1994;0;NA;NA
42U;1995;3;A13;1
42U;1996;3;B27;2
42U;1997;5;C12;1
42U;1998;2;NA;NA
42U;1999;3;E15;2
42U;2000;3;F4;2
42U;2001;2;G13;1
45U;1991;0;NA;NA
45U;1992;0;NA;NA
49U;1991;0;NA;NA
49U;1992;0;NA;NA
49U;1993;1;NA;0
49U;1994;0;NA;NA
49U;1995;3;A40;2
49U;1996;3;B7;1
49U;1997;1;NA;0
49U;1998;3;D13;1
49U;1999;1;NA;NA
49U;2000;3;F11;1
49U;2001;1;NA;0
49U;2002;1;NA;0
49U;2003;5;I3;1
49U;2004;1;NA;0
50U;1991;0;NA;NA
50U;1992;0;NA;NA
50U;1993;2;NA;0
50U;1994;4;NA;1
50U;1995;5;A22;2
50U;1996;4;NA;0
50U;1997;2;NA;0
50U;1998;1;NA;NA
50U;1999;2;E1;2
5U;1991;0;NA;NA
5U;1992;0;NA;NA
5U;1993;3;11Y;2
5U;1994;1;NA;0
5U;1995;5;A2;2
5U;1996;3;B16;1
5U;1997;2;NA;0
7U;1991;0;NA;NA
7U;1992;0;NA;NA
7U;1993;0;NA;NA
7U;1994;0;NA;NA
7U;1995;5;A36;2
7U;1996;1;NA;0
7U;1997;8;NA;NA
7U;1998;0;NA;NA
9U;1991;0;NA;NA
9U;1992;0;NA;NA
9U;1993;3;3Y;1
9U;1994;0;NA;NA
9U;1995;3;A57;2
9U;1996;3;B8;2
11V;1992;0;NA;NA
11V;1993;0;NA;NA
11V;1994;0;NA;NA
11V;1995;0;NA;NA
11V;1996;3;B36;2
11V;1997;0;NA;NA
15V;1992;0;NA;NA
15V;1993;0;NA;NA
15V;1994;0;NA;NA
15V;1995;5;A10;1
15V;1996;1;NA;0
15V;1997;8;NA;NA
15V;1998;3;D1;2
15V;1999;2;E4;1
1V;1992;0;NA;NA
1V;1993;0;NA;NA
1V;1994;0;NA;NA
20V;1992;0;NA;NA
20V;1993;0;NA;NA
20V;1994;0;NA;NA
20V;1995;0;NA;NA
20V;1996;1;NA;0
20V;1997;1;NA;0
20V;1998;0;NA;NA
21W;1992;0;NA;NA
21W;1993;0;NA;NA
21W;1994;0;NA;NA
21W;1995;3;A15;1
21W;1996;3;B26;1
21W;1997;3;C9;1
21W;1998;1;NA;0
21W;1999;1;NA;0
21X;1992;0;NA;NA
21X;1993;0;NA;NA
21X;1994;0;NA;NA
21X;1995;5;A39;1
21X;1996;1;NA;0
21X;1997;1;NA;0
21X;1998;0;NA;NA
21X;1999;2;NA;0
21X;2000;0;NA;NA
21X;2001;0;NA;NA
25V;1992;0;NA;NA
25V;1993;0;NA;NA
25V;1994;5;5Z;1
25V;1995;3;A16;2
29V;1992;0;NA;NA
29V;1993;0;NA;NA
29V;1995;3;A52;1
29V;1996;3;B23;1
29V;1997;1;NA;0
29V;1998;2;NA;0
29V;1999;0;NA;NA
30V;1992;0;NA;NA
30V;1993;0;NA;NA
30V;1994;0;NA;NA
30V;1995;1;NA;0
30V;1996;3;B25;2
5V;1992;0;NA;NA
5V;1993;0;NA;NA
5V;1994;0;NA;NA
6W;1992;0;NA;NA
6W;1993;0;NA;NA
6W;1994;0;NA;NA
6W;1995;1;NA;0
6W;1996;3;B24;2
6W;1997;8;NA;NA
6W;1998;8;NA;NA
8V;1992;0;NA;NA
8V;1993;0;NA;NA
8V;1994;4;NA;2
8V;1995;5;A28;2
8V;1996;3;B37;2
8V;1997;1;NA;0
8V;1998;3;D5;1
8V;1999;3;E14;1
8V;2000;5;F10;2
19W;1994;0;NA;NA
19W;1995;1;NA;0
19W;1996;3;B5;2
19W;1997;3;C18;1
19W;1998;1;NA;NA
19W;1999;3;E8;1
28W;1993;0;NA;NA
28W;1994;0;NA;NA
28W;1995;0;NA;NA
28W;1996;3;B39;2
28W;1997;3;C19;2
28W;1998;0;NA;NA
28W;1999;2;E3;1
28W;2000;1;NA;NA
28W;2001;2;G4;1
2WX;1993;0;NA;NA
2WX;1994;0;NA;NA
2WX;1995;0;NA;NA
2WX;1996;2;NA;0
2WX;1997;0;NA;NA
32W;1993;0;NA;NA
32W;1994;0;NA;NA
32W;1995;3;A49;2
32W;1996;4;NA;0
32W;1997;0;NA;NA
32W;1998;3;D7;1
32W;1999;0;NA;NA
32W;2000;1;NA;NA
39W;1993;0;NA;NA
39W;1994;0;NA;NA
39W;1995;1;NA;0
39W;1996;3;B2;1
39W;1997;3;C15;1
39W;1998;5;D15;1
39W;1999;5;E12;2
39W;2000;1;NA;NA
39W;2001;3;G5;1
48W;1993;0;NA;NA
48W;1994;0;NA;NA
48W;1995;5;A48;1
48W;1996;3;B35;1
48W;1997;8;NA;NA
48W;1998;8;NA;NA
48W;1999;5;E11;1
48W;2000;1;NA;NA
48W;2001;3;G1;2
48W;2002;5;H3;1
50W;1993;0;NA;NA
50W;1994;0;NA;NA
50W;1995;2;NA;0
50W;1996;3;B4;1
50W;1997;0;NA;NA
53W;1993;0;NA;NA
53W;1994;1;NA;0
53W;1995;3;A21;2
54W;1993;0;NA;NA
54W;1994;0;NA;NA
54W;1995;5;A32;1
54W;1996;1;NA;0
54W;1997;1;NA;0
54W;1998;0;NA;NA
5W;1993;0;NA;NA
5W;1994;0;NA;NA
3X;1994;0;NA;NA
3X;1995;3;A18;2
3X;1996;5;B17;2
3X;1997;1;NA;0
34Y;1995;0;NA;NA
34Y;1996;1;NA;0
34Y;1997;8;NA;NA
34Y;1998;8;NA;NA
34Y;1999;8;NA;NA
36Y;1995;0;NA;NA
6Y;1995;0;NA;NA
6Y;1996;0;NA;NA
6Y;1997;8;NA;NA
6Y;1998;8;NA;NA
6Y;1999;8;NA;NA
14Z;1996;0;NA;NA
14Z;1997;8;NA;NA
14Z;1998;8;NA;NA
14Z;1999;8;NA;NA
14Z;2000;5;F12;1
14Z;2001;3;G16;1
15Z;1996;0;NA;NA
15Z;1997;8;NA;NA
15Z;1998;8;NA;NA
15Z;1999;8;NA;NA
15Z;2000;8;NA;NA
15Z;2001;8;NA;NA
15Z;2002;8;NA;NA
15Z;2003;8;NA;NA
15Z;2004;8;NA;NA
15Z;2005;8;NA;NA
6Z;1996;0;NA;NA
7Z;1996;0;NA;NA
7Z;1997;0;NA;NA
A14;1997;0;NA;NA
A14;1998;0;NA;NA
A14;1999;0;NA;NA
A2;1997;0;NA;NA
A20;1997;0;NA;NA
A20;1998;0;NA;NA
A20;1999;0;NA;NA
A20;2000;0;NA;NA
A20;2001;3;G12;2
A22;1997;0;NA;NA
A28;1997;0;NA;NA
A28;1998;0;NA;NA
A28;1999;5;E17;2
A28;2000;3;F7;2
A28;2001;5;G14;2
A28;2002;1;NA;0
A33;1997;0;NA;NA
A33;1998;0;NA;NA
A33;1999;5;E13;2
A33;2000;1;NA;NA
A33;2001;3;G6;2
A33;2002;5;H1;2
A33;2003;1;NA;0
A33;2004;5;J1;1
A35;1997;0;NA;NA
A35;1998;0;NA;NA
A35;1999;0;NA;NA
A35;2000;5;F9;1
A35;2001;1;NA;0
A35;2002;2;NA;0
A35;2003;2;NA;2
A35;2004;3;J7;2
A35;2005;2;K14;1
A35;2006;1;NA;0
A35;2007;5;M27;1
A35;2008;1;NA;0
A35;2009;1;NA;0
A35;2010;3;P2;1
A36;1997;0;NA;NA
A36;1998;0;NA;NA
A44;1997;0;NA;NA
A44;1998;0;NA;NA
A44;1999;2;NA;0
A44;2000;5;F1;2
A44;2001;2;NA;0
A44;2002;3;H4;1
A44;2003;2;I2;2
A44;2004;2;J2;2
A44;2005;5;K11;2
A44;2006;5;L2;2
A44;2007;5;M22;1
A44;2008;5;N7;1
A44;2009;5;O7;1
A44;2010;5;P7;1
A44;2011;1;NA;0
A44;2012;3;R15;2
A5;1997;0;NA;NA
A50;1997;0;NA;NA
A50;1998;0;NA;NA
A50;1999;2;E9;1
A50;2000;5;F8;1
A50;2001;2;G3;1
A50;2002;1;NA;0
A50;2003;3;I5;1
A50;2004;5;J8;2
A50;2005;1;NA;0
A50;2006;5;L9;1
A50;2007;3;M19;2
A50;2008;5;N3;2
A50;2009;2;NA;0
A53;1997;0;NA;NA
A53;1998;0;NA;NA
A53;1999;0;NA;NA
B32;1998;0;NA;NA
B32;1999;0;NA;NA
B32;2000;0;NA;NA
B32;2001;0;NA;NA
B32;2002;1;NA;0
B32;2003;0;NA;NA
C13;1998;0;NA;NA
C13;1999;0;NA;NA
C13;2000;0;NA;NA
C13;2001;3;G2;1
C13;2002;1;NA;0
C13;2003;5;I7;2
C5;1998;0;NA;NA
C5;1999;0;NA;NA
C5;2000;0;NA;NA
C14;1999;0;NA;NA
C14;2000;0;NA;NA
C14;2001;5;G15;2
C14;2002;1;NA;0
C14;2003;3;I8;2
C14;2004;3;J9;1
C14;2005;3;K12;1
C14;2006;5;L11;1
C14;2007;2;M18;2
C14;2008;2;NA;0
C8;1999;0;NA;NA
C8;2000;0;NA;NA
C8;2001;0;NA;NA
C8;2002;1;NA;0
C8;2003;0;NA;NA
C8;2004;3;J11;1
C8;2005;3;K15;2
D14;2000;0;NA;NA
D14;2001;0;NA;NA
D14;2002;1;NA;0
D14;2003;5;I4;1
D14;2004;3;J10;1
D14;2005;3;K9;2
D14;2006;3;L7;1
D14;2007;3;M16;1
D14;2008;5;N4;2
D14;2009;3;O8;1
D6;2000;0;NA;NA
D6;2001;0;NA;NA
D8;2000;0;NA;NA
D8;2001;0;NA;NA
D8;2002;0;NA;NA
D8;2003;0;NA;NA
D8;2004;0;NA;NA
D8;2005;2;K16;1
D8;2006;5;L10;2
E12;2001;0;NA;NA
E12;2002;0;NA;NA
E12;2003;5;I6;2
E12;2004;5;J6;1
E12;2005;3;K8;1
E12;2006;1;NA;0
E12;2007;5;M23;1
E12;2008;2;N1;1
E12;2009;5;O12;2
E12;2010;5;P9;1
E12;2011;3;Q1;1
E12;2012;3;R2;1
E13;2001;0;NA;NA
E13;2002;2;NA;0
E13;2003;3;I9;1
E13;2004;5;J5;2
E13;2005;3;K7;2
E13;2006;3;L5;1
E13;2007;5;M24;2
E13;2008;1;NA;0
E17;2001;0;NA;NA
E17;2002;3;H5;1
E17;2003;1;NA;0
E17;2004;1;NA;0
E17;2005;1;NA;0
F1;2002;0;NA;NA
F1;2003;0;NA;NA
F1;2004;2;NA;2
F1;2005;1;NA;0
F1;2006;5;L1;1
F1;2007;3;M13;1
F1;2008;5;N2;1
F1;2009;5;O11;2
F1;2010;5;P18;1
F1;2011;5;Q4;1
F1;2012;3;R7;1
F10;2002;0;NA;NA
F10;2003;0;NA;NA
F13;2002;0;NA;NA
F13;2003;0;NA;NA
F13;2004;3;J4;2
G14;2003;0;NA;NA
G14;2004;2;NA;0
G14;2005;3;K10;2
G14;2006;5;L6;2
G14;2007;5;M14;1
G14;2008;5;N6;2
G14;2009;5;O3;2
G14;2010;5;P4;1
G14;2011;3;Q2;2
G14;2012;3;R5;1
G14;2013;3;S3;1
G14;2014;0;NA;NA
G14;2015;5;U21;2
G15;2003;0;NA;NA
G15;2004;0;NA;NA
G15;2005;1;NA;0
G15;2006;5;L3;2
G15;2007;5;M21;2
G15;2008;5;N8;2
H1;2004;0;NA;NA
H1;2005;5;K13;1
H1;2006;5;L4;1
H1;2007;5;M15;2
H1;2008;5;N10;1
H1;2009;3;O10;1
H1;2010;5;P3;2
H1;2011;1;NA;0
H1;2012;5;R13;2
K4;2005;4;NA;1
I6;2005;0;NA;NA
I6;2006;1;NA;0
I6;2007;3;M20;1
I6;2008;5;N5;1
I6;2009;3;O5;2
I6;2010;5;P19;1
I6;2011;3;Q6;1
I6;2012;5;R3;1
I6;2013;5;S7;1
I6;2014;1;NA;0
I7;2005;0;NA;NA
I7;2006;0;NA;NA
I7;2007;5;M25;2
I7;2008;5;N9;1
I7;2009;3;O1;2
K1;2005;0;NA;NA
K1;2006;0;NA;NA
K1;2007;5;M26;2
K1;2008;5;N11;1
K1;2009;2;NA;0
K1;2010;5;P13;2
K1;2011;5;Q10;1
K1;2012;1;NA;0
K1;2013;9;NA;NA
J5;2006;0;NA;NA
J5;2007;9;M17;2
J5;2008;3;N12;2
J5;2009;1;NA;0
J5;2010;2;P8;2
J5;2011;3;Q14;1
J5;2012;2;R8;1
J5;2013;2;NA;0
J5;2014;3;T5;1
J5;2015;5;U12;2
J5;2016;5;V16;2
J8;2006;0;NA;NA
J8;2007;5;M28;2
J8;2008;3;N13;2
J8;2009;5;O2;1
J8;2010;3;P14;1
J8;2011;3;Q9;1
J8;2012;5;R1;2
L10;2008;0;NA;NA
L2;2008;0;NA;NA
L2;2009;5;O4;2
L2;2010;1;NA;0
L2;2011;5;Q5;1
L2;2012;5;R12;2
L2;2013;2;S6;2
L2;2014;5;T6;2
L2;2015;3;U24;2
L2;2016;1;NA;NA
L2;2017;5;W6;2
L2;2018;2;NA;NA
L3;2008;0;NA;NA
L3;2009;5;O6;2
L3;2010;5;P10;2
L3;2011;5;Q7;1
L3;2012;3;R9;2
L6;2008;0;NA;NA
L6;2009;3;O9;1
L6;2010;3;P12;1
M4;2008;0;NA;NA
M4;2009;0;NA;NA
M4;2010;5;P16;1
M4;2011;1;NA;0
M4;2012;5;R6;2
M4;2013;5;S5;2
M4;2014;1;NA;0
M4;2015;5;U14;2
M4;2016;5;V4;1
M4;2017;5;W22;1
M4;2018;3;X7;2
M4;2019;1;NA;NA
M4;2020;1;NA;NA
M4;2021;1;NA;NA
M4;2022;0;NA;NA
M4;2023;0;NA;NA
M7;2008;0;NA;NA
M7;2009;0;NA;NA
M7;2010;5;P17;1
M7;2011;5;Q12;2
M7;2012;1;NA;0
M7;2013;2;S4;2
M7;2014;1;NA;0
M7;2015;5;U13;2
M7;2016;3;V13;1
M7;2017;5;W7;2
M7;2018;1;NA;NA
M15;2009;0;NA;NA
M15;2010;5;P1;2
M15;2011;1;NA;0
M15;2012;1;NA;0
M15;2013;2;S1;2
M15;2014;5;T2;2
M15;2015;3;U20;1
M15;2016;5;V6;2
M15;2017;5;W2;1
M15;2018;3;X6;1
M21;2009;0;NA;NA
M24;2009;0;NA;NA
M24;2010;5;P11;2
M25;2009;0;NA;NA
M25;2010;5;P6;1
M26;2009;0;NA;NA
M26;2010;5;P15;2
M26;2011;5;Q13;2
M26;2012;5;R4;2
M28;2009;0;NA;NA
M28;2010;2;P5;1
M28;2011;5;Q3;2
M28;2012;3;R11;2
M28;2013;1;NA;0
M28;2014;5;T4;1
M28;2015;5;U17;1
M28;2016;5;V9;2
M28;2017;5;W11;1
M28;2018;2;X10;2
M28;2019;2;Y1;2
N3;2010;0;NA;NA
N3;2011;5;Q8;2
N4;2010;0;NA;NA
N4;2011;5;Q11;1
N4;2012;2;NA;0
N4;2013;3;S2;2
N4;2014;1;NA;0
N4;2015;1;NA;0
N6;2010;0;NA;NA
N6;2011;0;NA;NA
N6;2012;2;NA;0
O11;2011;0;NA;NA
O11;2012;3;R10;1
O11;2013;1;NA;0
O11;2014;1;NA;0
O11;2015;3;U22;1
O11;2016;5;V5;1
O11;2017;5;X2;2
O11;2018;3;X20;1
O11;2019;0;NA;NA
O12;2011;0;NA;NA
O12;2012;0;NA;NA
O12;2013;5;S9;2
O12;2014;1;NA;0
O12;2015;5;U25;2
O12;2016;5;V11;2
O12;2017;1;NA;0
O12;2018;3;NA;0
O12;2019;2;NA;NA
O12;2020;0;NA;NA
O12;2021;5;NA;1
O12;2022;1;NA;NA
O12;2023;1;NA;NA
O3;2011;0;NA;NA
O3;2012;3;R14;2
O4;2011;0;NA;NA
O6;2011;0;NA;NA
O6;2012;5;R16;1
O6;2013;5;S10;2
O6;2014;1;NA;0
O6;2015;2;NA;0
O6;2016;5;V7;2
O6;2017;5;W16;2
O6;2018;1;NA;NA
O6;2019;1;NA;NA
O6;2020;1;NA;NA
O6;2021;2;NA;0
O6;2022;2;NA;0
P1;2012;0;NA;NA
P1;2013;5;S8;2
P1;2014;0;NA;NA
P1;2015;1;NA;0
P1;2016;1;NA;NA
P1;2017;5;W4;1
P1;2018;3;X8;1
P10;2012;0;NA;NA
P11;2012;0;NA;NA
P11;2013;0;NA;NA
P11;2014;0;NA;NA
P11;2015;2;NA;0
P11;2016;5;V2;1
P13;2012;0;NA;NA
P13;2013;2;S11;1
P13;2014;0;NA;NA
P13;2015;2;NA;0
P15;2012;0;NA;NA
P15;2013;0;NA;NA
P15;2014;0;NA;NA
P15;2015;5;U18;1
P15;2016;5;V1;1
P15;2017;5;W12;2
P15;2018;5;X3;2
P15;2019;3;Y3;1
P3;2012;0;NA;NA
P3;2013;0;NA;NA
P3;2014;0;NA;NA
P3;2015;5;U15;2
P3;2016;3;V8;1
P3;2017;5;W15;1
P3;2018;2;X5;2
P3;2019;3;Y2;1
Q12;2013;0;NA;NA
Q12;2014;0;NA;NA
Q12;2015;5;U19;2
Q12;2016;5;V12;1
Q12;2017;5;W14;1
Q12;2018;5;X12;2
Q13;2013;0;NA;NA
Q13;2014;0;NA;NA
Q13;2015;0;NA;NA
Q13;2016;5;V10;1
Q13;2017;5;W5;2
Q13;2018;0;NA;NA
Q13;2019;1;NA;NA
Q3;2013;0;NA;NA
Q3;2014;0;NA;NA
Q3;2015;0;NA;NA
Q3;2016;1;NA;NA
Q3;2017;5;W1;2
Q3;2018;3;X15;1
Q3;2019;0;NA;NA
Q8;2013;0;NA;NA
Q8;2014;0;NA;NA
R12;2014;0;NA;NA
R12;2015;0;NA;NA
R12;2016;5;V14;1
R12;2017;5;W19;1
R4;2014;0;NA;NA
R6;2014;0;NA;NA
R6;2015;3;U16;2
R6;2016;5;V15;2
R6;2017;0;NA;NA
R6;2018;5;X11;1
R6;2019;1;NA;NA
R6;2020;3;ZZ1;1
R6;2021;9;AA4;1
R6;2022;5;BB2;1
R6;2023;4;CC5;1
U11;2016;0;NA;NA
U11;2017;5;X1;1
U11;2018;0;NA;NA
U11;2019;3;Y5;2
U11;2020;0;NA;NA
U11;2021;2;NA;0
U11;2022;5;BB13;1
U11;2023;4;umk;0
U2;2015;0;U23;1
U2;2016;0;NA;NA
U2;2017;3;W9;2
U7;2015;3;NA;NA
U7;2016;0;NA;NA
U7;2017;2;W8;2
U7;2018;3;X4;2
U7;2019;0;NA;NA
U7;2020;0;NA;NA
U7;2021;5;AA13;1
U7;2022;5;BB8;1
U7;2023;4;CC11;1
S10;2015;0;NA;NA
S10;2016;2;V3;1
S10;2017;3;W3;1
S10;2018;5;X9;1
S10;2019;0;NA;NA
S5;2015;0;NA;NA
S5;2016;3;NA;NA
S5;2017;0;NA;NA
S5;2018;3;X13;2
S5;2019;0;NA;NA
S5;2020;0;NA;NA
S5;2021;1;NA;0
S5;2022;1;NA;NA
S5;2023;0;NA;NA
S8;2015;0;NA;NA
S8;2016;0;NA;NA
S8;2017;5;W13;2
S8;2018;3;X18;2
S8;2019;1;NA;NA
S8;2020;1;NA;NA
S8;2021;5;AA5;1
S8;2022;5;BB15;1
S8;2023;1;NA;NA
S9;2015;0;NA;NA
S9;2016;3;V17;1
S9;2017;5;W17;2
S9;2018;5;X14;1
U5;2015;0;NA;NA
U5;2016;0;NA;NA
U5;2017;0;NA;NA
U5;2018;0;NA;NA
U5;2019;0;NA;NA
U5;2020;0;NA;NA
U5;2021;0;NA;NA
U5;2022;0;NA;NA
U5;2023;0;NA;NA
U8;2015;0;NA;NA
U8;2016;0;NA;NA
U8;2017;5;W20;2
U8;2018;5;X21;2
U8;2019;1;NA;0
T2;2016;0;NA;NA
T2;2017;5;W10;2
T6;2016;0;NA;NA
T6;2017;5;W18;2
U4;2016;0;NA;NA
U4;2017;3;W21;2
U4;2018;3;X22;1
U4;2019;3;Y6;1
U4;2020;1;NA;0
U4;2021;5;AA12;1
U6;2016;0;NA;NA
U6;2017;3;W23;2
U9;2016;0;NA;NA
U9;2017;0;NA;NA
U13;2017;0;NA;NA
U13;2018;3;X19;2
U13;2019;3;Y4;1
U13;2020;0;NA;NA
U13;2021;5;AA11;2
U13;2022;1;NA;NA
U13;2023;4;CC6;2
U14;2017;0;NA;NA
U14;2018;3;X16;2
U14;2019;0;NA;NA
U14;2020;5;ZZ2;1
U14;2021;2;NA;0
U14;2022;5;BB3;2
U14;2023;4;CC9;2
U15;2017;0;NA;NA
U15;2018;3;X23;1
U15;2019;0;NA;NA
U15;2020;0;NA;NA
U15;2021;5;AA14;2
U15;2022;3;BB10;1
U15;2023;1;NA;NA
U19;2017;0;NA;NA
U19;2018;3;X4;2
U19;2019;0;NA;NA
U19;2020;0;NA;NA
U19;2021;2;AA6;1
U19;2022;5;BB11;2
U19;2023;4;CC10;1
U21;2017;0;NA;NA
U21;2018;3;X17;1
U25;2017;0;NA;NA
U25;2018;0;NA;NA
U25;2019;0;NA;NA
U25;2020;0;NA;NA
U25;2021;5;NA;1
V11;2018;0;NA;NA
V11;2019;0;NA;NA
V6;2018;0;NA;NA
V6;2019;0;NA;NA
V7;2018;0;NA;NA
V7;2019;0;NA;NA
V9;2018;0;NA;NA
V9;2019;0;NA;NA
V9;2020;0;NA;NA
V9;2021;5;AA2;2
V9;2022;5;BB12;1
V9;2023;4;CC8;1
W1;2019;0;NA;NA
W6;2019;0;NA;NA
W6;2020;0;NA;NA
W6;2021;3;AA7;1
W7;2019;0;NA;NA
W7;2020;0;NA;NA
W7;2021;5;AA8;2
W7;2022;5;BB4;1
W7;2023;4;CC4;2
W12;2019;0;NA;NA
W12;2020;0;NA;NA
W12;2021;5;AA10;2
W13;2019;0;NA;NA
W13;2020;0;NA;NA
W13;2021;5;AA1;2
W13;2022;5;BB7;2
W13;2023;4;CC1;2
W16;2019;0;NA;NA
W16;2020;0;NA;NA
W16;2021;5;AA3;1
W16;2022;1;NA;NA
W16;2023;4;CC3;1
W17;2019;0;NA;NA
W17;2020;0;NA;NA
W17;2021;2;NA;0
W17;2022;5;BB1;1
W17;2023;4;CC2;1
W18;2019;0;NA;NA
X2;2019;0;NA;NA
X2;2020;0;NA;NA
X2;2021;5;AA9;2
X2;2022;5;BB14;2
X12;2020;0;NA;NA
X12;2021;0;NA;NA
X12;2022;5;BB9;2
X12;2023;4;CC7;1
AA1;2023;0;NA;NA
AA2;2023;0;NA;NA
AA8;2023;0;NA;NA
AA9;2023;0;NA;NA
AA10;2023;0;NA;NA
AA11;2023;0;NA;NA
AA14;2023;0;NA;NA
U12;2017;0;NA;NA
21I;1997;0;NA;NA
